"category";"total"
"grand_total_t_10m2";1945029764,52707
"building_commercial_industrial";213742087,326813
"building_commercial_innercity";44017833,2293015
"building_highrise";18362706,5058594
"building_lightweight";51189732,7856669
"building_multifamily";134415705,649345
"building_singlefamily";624790326,187503
"building_skyscraper";10135137,3515625
"building";1096652780,47075
"other_airport";11884210,5078125
"other_parking";24732642,0861816
"other_remaining_impervious";332322772,042305
"other";368939648,293739
"rail_bridge";814143,402130127
"rail_other";395224,06785965
"rail_railway";24097008,3647461
"rail_subway_elevated";239628,4140625
"rail_subway_surface";1458030,40625
"rail_subway";5381682,703125
"rail";33797331,6343575
"rail_tram";11606,1420898438
"rail_tunnel";1400002,23535156
"street_bridge_motorway";6090752,44726562
"street_bridge_other";3532179,62299156
"street_local";218130012,765727
"street_motorway_elevated";1630797,21362305
"street_motorway";95843629,2628174
"street_other_elevated";744962,203166485
"street_primary";9802621,41699219
"street_secondary";30730131,6250916
"street_tertiary";72963422,0417175
"street";445640855,392606
"street_track";2600925,92860508
"street_tunnel";3570910,08703613
