"zone";"area_building_commercial_industrial";"area_building_commercial_innercity";"area_building_highrise";"area_building_lightweight";"area_building_multifamily";"area_building_singlefamily";"area_building_skyscraper";"area_other_airport";"area_other_parking";"area_other_remaining_impervious";"area_rail_bridge";"area_rail_exclude";"area_rail_other";"area_rail_railway";"area_rail_subway_elevated";"area_rail_subway_surface";"area_rail_subway";"area_rail_tram";"area_rail_tunnel";"area_street_bridge_motorway";"area_street_bridge_other";"area_street_exclude";"area_street_local";"area_street_motorway_elevated";"area_street_motorway";"area_street_other_elevated";"area_street_primary";"area_street_secondary";"area_street_tertiary";"area_street_track";"area_street_tunnel"
-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;0;0;0;0;0;0;0;394;0;0;0;16;335;95;58;0
1;717656;14751;552;630159;193104;4500039;0;131405;102761;2827725;8711;32560;2761;1068850;0;0;0;0;0;0;14755;19244;16425627;0;1370609;14755;0;1572054;305662;559676;0
2;4610859;165114;2957;3077482;639667;18305601;5956;1888682;1634795;13728163;36360;452648;11875;706384;0;0;0;0;0;1034838;217813;35649;56723092;1035579;4309552;217813;43;3819370;4154629;4338335;265
3;989202;2188;0;491969;21626;2778424;0;201393;134934;1785372;4061;335661;0;382805;0;0;0;0;0;0;25996;16715;17415470;0;0;25996;0;2860428;972862;242270;0
4;328133;1644;0;242589;26423;1675522;0;57416;68023;1109934;354;484245;0;479220;0;0;0;0;0;0;37616;163519;16547162;0;441;37616;442320;1719904;872139;157656;0
5;975403;11104;0;1211211;169949;6150572;0;11533;71279;2381549;3047;338452;0;264734;0;0;0;0;12245;14512;21438;0;23531815;14512;546533;21438;0;2126459;1095192;118197;1612
6;269043;5641;0;204563;31332;1162136;0;92241;22678;420676;0;442219;0;0;0;0;0;0;0;0;1311;0;8420665;0;0;1311;0;1489358;993405;424487;0
7;620367;2350;0;504957;46873;2410473;0;111927;7030;1085720;9253;3592;0;927033;0;0;0;0;0;47299;35797;10;17525697;47299;2883067;35797;0;1425218;847389;465477;1731
8;3989506;56663;767;1545236;279532;10644673;0;168258;777478;10121446;8490;492752;2775;1692963;0;0;0;0;0;43368;60545;448628;30661193;43376;950708;60545;346289;2909455;2030010;232577;361
9;876297;9034;0;428872;55051;3309323;0;31461;26916;1925921;2765;309855;0;587966;0;0;0;0;0;14198;9201;2363;16656580;14198;871579;9201;0;854748;1035079;105032;0
10;913083;35626;0;521775;21168;3104432;0;80454;10142;1868577;0;427760;0;0;0;0;0;0;0;0;26389;14129;17715354;0;0;26389;0;1509753;1081226;673510;0
11;768709;7455;9;705866;104684;3784279;0;50895;78142;2585333;8272;14196;0;1210492;0;0;0;0;0;13657;27508;0;21622429;13657;2373093;27508;89187;881275;1279323;115690;0
12;394839;4819;0;290658;22224;1596050;0;42564;17252;921073;1983;285264;0;584018;0;0;0;0;0;0;13033;0;17939025;0;0;13033;0;1868033;271210;175144;0
13;724861;1353;392;380037;52241;2533272;0;75078;202;2200860;3336;0;0;912404;0;0;0;0;0;0;18740;1476;22939246;0;0;18740;93620;1792322;1415855;162238;0
14;520278;5712;0;287351;38888;1706438;0;40086;527;457671;954;0;0;553609;0;0;0;0;0;0;5742;153977;15438916;0;0;5742;0;713930;1349891;809576;0
15;472343;2793;0;281441;25475;1813451;0;0;20879;591593;6674;56489;0;446090;0;0;0;0;0;30446;19017;436650;14299857;30446;1759284;19017;0;865709;691316;300213;0
16;1422745;4131;0;1043240;116947;5700196;0;542863;84003;3068077;971;106980;6752;199961;0;0;0;0;0;0;15936;21131;17943801;0;0;15936;0;2010970;2703135;254733;0
17;2720801;19333;1638;781772;37696;5577097;0;324865;199195;6872736;6169;80610;0;1979074;0;0;0;0;0;0;79755;62080;19021213;0;0;79755;129711;2771077;987450;174662;736
18;308063;882;0;286603;11754;1578648;0;194835;33082;583555;0;0;0;762100;0;0;0;0;0;25434;17136;0;19567551;25434;2512358;17136;0;1181394;719251;401348;0
19;202271;2620;0;180499;32664;1223338;0;41793;0;147280;2708;12100;0;241684;0;0;0;0;0;0;12017;0;16076325;0;0;12017;114170;1550916;839340;595401;156
20;1163561;6005;0;974419;51462;4791978;0;210036;14545;2214094;10263;420554;8285;840763;0;0;0;0;0;0;58557;64427;27034528;0;0;58557;0;3465098;577936;1906773;0
21;518755;428;0;469075;17608;2050801;0;49650;0;402516;0;264397;0;0;0;0;0;0;0;0;5373;601;13377960;0;0;5373;0;1453782;494913;178028;0
22;2869873;23400;261;2051003;242062;10129671;0;177697;513149;7584456;2482;6234;0;623282;0;0;0;0;0;16285;30887;74641;31268443;16285;2136842;30887;1193;2709699;884363;30837;935
23;1431727;7278;0;838466;115304;4797693;0;2679790;168742;4094148;14024;85577;0;1115627;0;0;0;0;0;0;47261;7655;17542657;0;0;47261;0;1645352;2274739;161472;0
24;1068899;9150;0;562923;62272;3727605;0;449686;2823;4384704;20107;255577;305;2312690;0;0;0;0;0;0;49014;103;27838178;0;4922;49014;143912;2044825;1958157;289368;0
25;2961772;12623;0;1713329;71498;8590049;0;138931;8472;5256096;0;6051;0;760222;0;0;0;0;0;10516;32741;3984;32365377;10516;3493425;32741;0;1378251;2584228;199780;0
26;1335043;12733;0;965707;353362;7022856;0;146978;543561;3127966;4898;81591;0;317642;0;0;0;0;0;42973;48396;4197;23174475;42973;397662;48396;608;1341138;2196647;151572;0
27;963924;22856;472;683630;22641;3578268;0;246844;75573;2663823;24717;53252;0;1921818;0;0;0;0;0;39294;66225;2104;26114878;39294;2366869;66225;0;2651092;457569;1495077;0
28;2847054;21778;3955;1510679;345528;9883378;0;251146;365220;11480454;16441;241803;6862;1296986;0;0;0;0;0;130294;70583;10709;25299457;130666;2491160;70583;189;3089427;1714279;46621;2812
29;519470;3704;0;274111;9928;1980678;0;75467;0;924172;2091;212481;0;420474;0;0;0;0;0;0;21226;0;16701074;0;0;21226;0;988486;1687194;218390;0
30;1405173;1672;0;539941;27243;3503258;0;16979;33921;2721092;0;133456;0;440783;0;0;0;0;0;0;59371;133725;16490451;0;0;59371;191922;2181451;1189612;450098;0
31;707102;67;0;766709;38714;3438667;0;117280;5296;922959;1899;493306;35944;0;0;0;0;0;0;0;25376;6224;17290198;0;0;25376;0;1262962;1452146;194270;0
32;178038;5152;0;153578;15685;1005695;0;0;46525;527072;34093;6562;0;1372570;0;0;0;0;0;98329;59367;803;13732488;98329;2395708;59367;0;1157450;474768;313763;101
33;276548;2771;0;242282;11599;1597159;0;38066;6033;411782;5344;209732;0;426292;0;0;0;0;0;0;13629;62648;13279122;0;0;13629;0;1089885;1297756;145617;0
34;572122;184;0;381697;8947;2145294;0;160737;8558;711403;1041;2774;0;549405;0;0;0;0;0;0;3949;0;13735251;0;0;3949;268;1531109;1413825;54914;0
35;3277349;17695;477;1481752;283099;9747767;0;273543;749146;9437607;6574;139093;0;1604260;0;0;0;0;0;0;36613;6785;24689396;0;8685;36613;1598;3425939;1841586;60801;0
36;1606556;57528;17293;1087433;113438;6023097;0;118573;347000;5602403;16315;57617;4962;1904538;0;0;0;0;0;0;93041;22800;25389759;0;0;93041;633757;2768473;2632737;862266;463
37;16111375;1088832;103554;5210882;6190073;43289620;14987;1150580;4025812;58944449;67299;1620606;30232;10163573;0;0;0;0;9057;1430873;328150;274331;98415064;1437510;13112479;328150;172194;4754959;5019076;246111;13813
38;422403;4324;0;250539;19390;1689201;0;35787;21196;701353;6700;0;0;775847;0;0;0;0;0;0;8495;0;18286800;0;0;8495;0;1202265;631726;201370;0
39;2456603;16511;3086;1248586;105303;8747201;0;0;1542396;4479216;2852;4043;0;403793;0;0;0;0;0;0;155142;85930;28212487;0;0;155142;118194;2723795;1434121;142427;87
40;1191884;2472;1135;723347;56007;4340545;0;286491;33781;2673508;2686;0;59122;457865;0;0;0;0;0;0;21832;225475;18349807;0;0;21832;0;2726722;1085729;298325;0
41;3235996;113275;3514;1434913;373487;11133511;0;355812;1730801;10224765;1412;69451;0;1188905;0;0;0;0;432;21592;35821;48605;26581379;21592;1921549;35821;375;2297239;1004279;206436;111
42;2377227;6409;537;1289230;260969;8788472;0;146833;994471;5301921;9441;91169;3020;921721;0;0;0;0;434;168577;117350;120992;22700497;168578;3055638;117350;145822;1367961;1028420;476443;81
43;343072;4439;2633;297674;28926;1385858;0;36512;0;636168;2812;0;0;977373;0;0;0;0;0;14859;11842;0;14114919;14859;1651161;11842;0;1614232;601834;1133612;0
44;289599;13823;0;269859;101264;2010108;0;196346;134307;1052389;4910;191641;0;519880;0;0;0;0;0;71177;28798;23278;13725591;71177;2469484;28798;0;1243277;745935;348725;0
45;9367614;110078;10341;3795627;1999015;30651403;0;1731113;5617912;22916664;9173;260510;9620;1121981;0;0;0;3209;364;466717;165397;602749;62197991;469544;2709762;165397;203576;3327716;4680099;288464;10738
46;545808;7142;163;359786;40327;2137880;0;105590;28433;1996655;25413;47065;0;2168677;0;0;0;0;0;0;55095;394;16745138;0;0;55095;0;2154563;2020721;409983;0
47;1669837;673;0;516423;21614;3392870;0;88174;39194;3735460;1560;172489;0;437696;0;0;0;0;0;120389;47425;0;21478413;120389;3392365;47425;0;1924189;2525758;358986;769
48;2843073;34569;335;1762029;401945;9691899;0;288028;79273;8665539;3824;8624;2752;403478;0;0;0;0;0;0;48895;81642;25735367;0;0;48895;0;1857508;2268080;70941;0
49;9858618;255883;33587;4115789;1128813;31486723;10418;1734112;2608784;28806366;61817;760707;27277;4912970;0;0;0;0;3167;845695;319531;259960;83643831;849332;4776290;319531;584632;3510945;3080424;6056520;47209
50;550562;12861;0;420025;31327;2293048;0;87041;51278;1743357;2682;175705;0;1665080;0;0;0;0;0;0;13232;258;20233818;0;0;13232;0;1431925;1725638;440079;7316
51;7461595;80894;1040;2276442;1070205;18096666;4595;1114932;1706200;25289846;12019;298340;2963;2866836;0;0;0;0;0;390353;123650;36601;32131341;391210;3610270;123650;330011;4240451;2223834;207023;1231
52;4706425;77046;12849;1609659;412485;11198212;0;85028;635036;12421050;7717;7621;173;1457433;0;0;0;0;0;66594;58299;63229;25150102;66594;1600648;58299;770;2201205;1261094;44716;686
53;201621;109;0;164099;14880;984667;0;158248;9695;370528;0;140961;0;117077;0;0;0;0;0;0;12636;0;13809682;0;0;12636;0;909040;1409048;121737;0
54;695757;1746;0;455058;46180;2502354;0;102824;27806;862948;16315;228700;0;1132366;0;0;0;0;0;0;60044;130307;19666872;0;74371;60044;268;1816848;1447902;2137944;0
55;1173392;8022;0;629350;135480;3320931;0;257464;28235;2672281;3273;106086;0;1159536;0;0;0;0;0;0;23309;0;16683482;0;0;23309;1078;1907480;1170466;184253;0
56;872229;7073;141;475229;56193;3077224;0;35490;24137;1286315;4115;29091;0;647426;0;0;0;0;0;0;30191;0;19204036;0;0;30191;0;638752;1000464;405952;0
57;1076213;16208;392;575732;66887;4386031;0;34500;107947;5129008;3790;313197;20400;769253;0;0;0;0;0;9052;42708;0;14654501;9070;210598;42708;194590;1768968;1833951;127071;0
58;1566801;23652;77;1084192;421676;7144946;0;50680;459954;4462053;8025;71081;0;1774377;0;0;0;0;3126;44964;42466;6244;26037174;44964;4128830;42466;0;2280074;1412970;508531;770
59;3664652;101595;5258;1832391;2214333;14097879;0;89914;736400;20434198;28019;259150;6188;3471646;0;0;0;0;13807;68816;75134;144037;46971449;68888;1943513;75134;0;2547269;1979047;393278;453
60;355222;1711;0;211193;36954;1338420;0;12322;85384;1008053;3894;664600;0;668046;0;0;0;0;0;86022;74569;499;13628479;86022;2346614;74569;354;2360176;797777;279013;1590
61;2480361;22717;0;1029377;344841;7075560;0;395949;305545;8164565;27409;274185;0;3143054;0;0;0;0;2369;20954;69874;135766;30397637;20954;1569467;69874;154827;2442451;1597075;171889;1541
62;981412;19623;16;547050;223427;4212963;0;228834;83320;1746025;4632;8326;0;635399;0;0;0;0;0;0;34127;7172;23056747;0;0;34127;0;1090438;2622735;171298;0
63;5200323;84110;14545;1946458;535091;15091527;0;370381;2079371;14062567;31479;464524;4637;2476372;0;0;0;0;0;275896;196368;582899;50032836;276137;4267643;196368;53988;4056257;3202925;256576;54580
64;1437180;15703;256;955214;136445;6886326;0;124958;67892;4174550;24374;210199;6304;2329400;0;0;0;0;0;221455;73915;8399;27438734;221547;3763666;73915;0;1555876;1926822;204284;194
65;336877;10997;4838;364282;24117;1922144;0;43202;409;1601226;8715;464123;0;733649;0;0;0;0;0;0;14984;10461;23411026;0;0;14984;0;2144198;470798;864821;0
66;220499;7692;1514;195171;10742;1158759;0;60501;6071;511450;20366;219163;0;1120570;0;0;0;0;0;0;24293;0;17866831;0;0;24293;0;2104367;1475429;212956;0
67;1026845;5883;0;505185;54700;3306309;0;114962;7484;2173297;1573;0;0;457803;0;0;0;0;0;0;18447;32965;18477011;0;0;18447;0;1234763;784069;200509;0
68;2209895;41603;16333;360387;4024;2133681;0;621702;248167;3154498;30114;40437;1022;3136591;0;0;0;0;0;35908;88991;868147;86120250;35908;4757072;88991;6927040;8990336;3404879;86477270;2201
69;8532892;6729;31;1388235;6985;4723541;0;2393744;1574359;4839735;63261;1546662;15950;3913357;0;0;0;0;1485;85889;120414;1674130;78987951;86202;8698398;120414;2459339;5392739;2641909;23123447;10739
70;3993822;90659;9429;1104493;181750;8029599;0;1527940;1823684;13395616;41491;122341;3960;7306182;0;0;0;0;2208;183071;105873;4638122;99067502;183670;11947586;105873;1766165;9574906;5511898;105267445;9969
71;2247180;8224;4670;806640;13830;3808686;0;456113;186027;3043631;19981;748;0;1008164;0;0;0;0;97;0;147697;963904;41071910;0;0;147697;6382583;374856;1984074;7970663;0
72;2697375;1123;0;389372;326;1120179;0;606611;252933;2097573;56146;0;13058;1724701;0;0;0;0;0;0;86025;1138415;28825988;0;0;86025;2600587;1022462;365376;11181984;0
73;700532;1854;0;117839;2823;343622;0;131666;12588;1081118;13096;68103;0;955202;0;0;0;0;7263;0;16977;2017636;9070433;0;0;16977;1100871;2529725;64665;3381738;1574
74;2238064;997;0;569975;1683;276319;0;608403;72751;3058931;50299;132468;0;1484119;0;0;0;0;0;104441;104199;6218;22891586;104825;6354019;104199;0;3098618;1299272;7196732;0
75;174599483;1697492;134728;41385591;2270486;223679714;63475;11313524;43073037;302013106;239374;368591;172504;9302922;0;0;0;24566;15047;2769348;1848823;4150320;389820005;2785298;43537320;1848823;9473512;16216893;45718860;22944457;175800
76;24857158;10486;3078;2845542;9239;3031490;0;1632075;933773;18492852;75065;2547;9087;3321865;0;0;0;0;0;325274;225706;588997;59154346;326232;10864233;225706;9297685;2681649;2001265;62779679;4368
77;4322257;5216;2128;805017;4730;5475259;0;1647430;907112;4705085;23287;16438;0;3402007;0;0;0;0;2422;123270;95325;848054;73802969;123456;5218074;95325;5894651;3552405;5014589;56722469;1118
78;64660763;83846;17196;10164291;148855;33671514;16813;6630497;16585808;44997720;56853;150275;53609;4153012;0;0;0;84349;1445;323226;719775;2835760;186983351;324734;9187313;719775;2113945;5929877;16613204;15387878;46043
79;16639128;12930;98;5105522;34807;17881595;0;3272857;1415674;17456413;92068;168886;185756;5052922;0;0;0;0;3693;148176;284621;1556010;88018973;148514;9174668;284621;3213131;4313528;5370419;24641327;7263
80;2652498;1037;0;371314;1731;1858223;0;181169;239793;1726067;10731;185004;0;903249;0;0;0;0;0;52990;41896;416809;22065615;52990;2841065;41896;321077;1064515;471961;4343784;0
81;11714384;27505;0;2560242;125576;15816455;0;1800195;1410439;9202533;62251;1197201;4961;4700928;0;0;0;0;5968;173768;231497;2421545;85630334;174330;12338966;231497;5405284;3654729;4042676;22042348;7528
82;10231397;7264;0;4002241;4566;5883079;0;2916878;1516732;19457153;72822;49886;18633;3680051;0;0;0;0;0;130931;106350;132688;49035499;130932;7337739;106350;2118228;2807482;1339468;9980778;1385
83;926603;33786;1079;276957;35976;1913202;0;145146;55799;3045130;11840;266379;26127;535879;0;0;0;0;0;0;31658;2845;24792143;0;0;31658;0;1436652;2032659;501151;0
84;752511;12125;0;267110;24334;1947802;0;119457;48478;3349095;881;454469;0;1327572;0;0;0;0;0;0;21675;240;23855904;0;0;21675;288374;1648085;1563269;331026;0
85;1208404;33773;99;650148;23740;4623074;0;227080;16760;2615088;11798;0;0;715671;0;0;0;0;0;0;41676;30738;19977387;0;0;41676;367657;475430;2371163;307244;0
86;6794653;91242;1838;3203957;293131;19553018;0;955695;1812919;18297230;7512;310161;6377;1364190;0;0;0;0;953;88720;162767;390687;54391912;88720;2026641;162767;1332529;1545919;4438994;161623;5290
87;1447198;9285;0;873985;62456;4107356;0;144204;52251;2480144;7650;211747;0;588639;0;0;0;0;22748;0;33560;14672;17705261;0;0;33560;1268490;565075;1751384;60421;86
88;410164;1765;0;202084;20101;1320885;0;81051;0;1423426;0;271056;0;768376;0;0;0;0;0;0;12165;0;13671309;0;0;12165;128304;1152487;1139795;69846;0
89;362586;953;0;91326;28232;627859;0;44627;1392;1312059;2108;144543;18810;1468633;0;0;0;0;0;0;20919;0;16470211;0;0;20919;1500006;523979;1258626;286204;0
90;876925;12191;0;968530;92519;3958302;0;133337;63700;1255896;973;272297;26799;0;0;0;0;0;838;0;26619;18004;17982110;0;0;26619;0;1709501;1534812;185352;0
91;401590;4315;0;167151;14909;1185459;0;128210;0;801470;3148;319712;0;540624;0;0;0;0;0;143269;24764;4636;13918497;143269;8342;24764;1177894;968429;1293243;432971;0
92;658538;13569;0;299171;127135;2084142;0;153425;160541;1926012;12201;148306;85447;867705;0;0;0;0;0;78367;41389;0;18555392;78367;2407681;41389;0;615218;2929579;926964;0
93;585091;2227;0;319308;10784;1776750;0;207811;23154;997733;14341;427344;0;801832;0;0;0;0;0;0;21749;1280;15549174;0;0;21749;0;1574254;1575375;1148630;0
94;776839;28313;59;466866;19348;3338793;0;193696;13086;4464915;0;219423;0;0;0;0;0;0;0;0;18682;1188;16764527;0;0;18682;0;64120;2986080;89401;0
95;317348;164;0;270576;6985;1152282;0;0;0;496083;8546;26119;0;441593;0;0;0;0;0;0;12599;0;11388969;0;0;12599;556713;867767;1417225;395008;0
96;790648;2222;0;382914;58027;2134908;0;114513;30274;4109870;3400;95263;0;1019027;0;0;0;0;0;0;4663;0;17883397;0;0;4663;422748;1656099;1611754;251465;0
97;705427;2638;0;390638;60249;2761059;0;215015;0;4302647;556;377;0;488583;0;0;0;0;0;12027;18479;0;14085015;12027;1972632;18479;0;633342;2803482;515050;0
98;3534314;64583;1360;1019028;208850;7203161;0;341105;104692;9521566;2854;510645;0;1608609;0;0;0;0;0;49972;71696;28201;27526379;50165;2396697;71696;1207026;1018915;3219884;69256;21
99;1379840;18091;0;767991;20570;5073011;0;18406;130577;4517246;34835;2713;0;1304718;0;0;0;0;0;311951;93811;24158;19093257;311951;4168092;93811;359419;733198;1294495;407212;920
100;1911092;9124;0;453315;32544;3584274;0;227221;103873;7472219;74759;106517;0;2103736;0;0;0;0;0;330016;59685;6334;18048059;330248;3836537;59685;0;1168023;2259879;526589;584
101;620875;4022;410;218753;27962;1354331;0;100461;8605;1372475;16042;81237;0;1412079;0;0;0;0;0;0;24077;1501;13581061;0;0;24077;0;1053611;2634271;226092;430
102;218075;2174;0;92332;13695;688526;0;54082;0;1025502;0;384704;935;247251;0;0;0;0;0;0;32020;0;14212480;0;0;32020;809117;72342;2736823;125901;0
103;619377;6959;0;174864;16475;1282315;0;254497;6338;1486640;27582;52803;153927;1095282;0;0;0;0;0;0;40601;976;10754340;0;0;40601;1190730;321956;1794894;1995885;1008
104;572088;1047;0;244569;15134;1602629;0;125513;57783;1866422;735;82540;0;882027;0;0;0;0;0;0;13234;0;17765122;0;0;13234;864136;1160848;2007893;163769;0
105;2625617;9435;43;1123388;224993;9124543;0;354269;631648;9833409;1140;0;0;411352;0;0;0;0;4238;40052;44632;23935;29809341;40052;1679525;44632;1338952;432642;3490005;119163;512
106;482453;3016;281;454473;10451;2317322;0;124210;3540;1072309;3867;65864;0;506006;0;0;0;0;0;36050;19514;10213;15400098;36050;1763827;19514;0;1306214;1394267;379218;0
107;198749;1362;0;206990;2718;1437079;0;47875;11103;231052;2319;7907;0;280141;0;0;0;0;0;0;10251;0;16485878;0;0;10251;0;1216218;1732180;181605;0
108;2467935;71971;1107;1069285;559335;8615882;0;308201;305238;8639607;4078;161630;0;535658;0;0;0;0;0;87592;48931;115361;36201894;87844;1217343;48931;482932;914393;2518574;566038;0
109;320143;4622;0;201773;25724;1513737;0;57338;26937;1346903;0;264244;0;0;0;0;0;0;0;9423;24152;0;18791026;9423;97895;24152;1110040;652724;1975094;360765;0
110;1459418;8280;0;616901;41158;3767282;0;104244;46911;2930862;2786;252306;0;881250;0;0;0;0;0;0;63139;16753;18211184;0;0;63139;229186;971044;2625371;110623;0
111;703148;2088;0;699010;12561;2795034;0;176500;33973;4448740;60525;248851;0;1669354;0;0;0;0;0;83111;23374;1361;17779856;83111;2060020;23374;0;1960930;2258123;287871;0
112;801560;15488;322;387718;65883;2823608;0;61028;70312;3086771;5484;187406;0;980589;0;0;0;0;0;56785;40164;0;19184856;56785;2219926;40164;250393;864809;2296199;379470;82
113;551907;1662;0;556298;13809;2197881;0;86632;16249;1680346;1405;79995;1168;969964;0;0;0;0;0;0;29386;1136;18264336;0;0;29386;0;1644952;1271450;282870;0
114;1118993;6262;143;514692;26140;3707015;0;237048;316609;4014607;7271;43596;0;1186047;0;0;0;0;0;0;43019;2455;18938173;0;0;43019;490516;1277799;2231893;408980;261
115;359432;422;0;232193;4421;1579891;0;200494;11928;741756;11757;694;0;830858;0;0;0;0;0;0;11699;3326;15067817;0;0;11699;0;540705;1784059;226159;0
116;617021;9424;0;225237;19287;1557038;0;292227;14562;1934950;4904;246500;0;957141;0;0;0;0;0;31730;41411;0;13317516;31730;3068445;41411;46261;282188;2902132;317334;0
117;2603417;45787;1978;645575;68964;5296321;0;227038;221980;13730589;10571;370951;2065;3242428;0;0;0;0;946;158036;147414;0;30208905;158119;2786785;147414;1502512;1557354;2597033;940298;0
118;698525;1461;0;470605;38253;2677042;0;100974;37095;1230048;7219;47705;0;542767;0;0;0;0;0;60692;27433;3322;19166284;60692;2439019;27433;0;560811;2241003;293309;0
119;204316;186;0;281918;7724;1016686;0;0;0;772668;3812;125664;0;819299;0;0;0;0;0;0;7856;0;12745029;0;0;7856;520392;642983;1117713;218000;0
120;498181;2237;0;310576;21042;1794793;0;473327;10293;1585923;7018;49023;0;1229593;0;0;0;0;0;37518;51136;52515;12676920;37518;1250120;51136;607952;825437;2004900;57047;804
121;340687;5341;63;111545;8278;792637;0;135897;4331;486986;3483;262131;0;364510;0;0;0;0;0;0;32972;2245;13212617;0;0;32972;201017;995362;1225946;420362;0
122;441348;524;0;282355;3857;1181974;0;60272;30473;895057;0;37713;0;272253;0;0;0;0;0;0;13218;17848;12706463;0;0;13218;1128780;454470;1608507;433582;0
123;435753;12325;235;336037;43400;1552754;0;0;34152;1270844;14780;107726;1466;1834690;0;0;0;0;0;0;39106;0;11673800;0;0;39106;350061;241874;1915618;134197;0
124;679800;411;0;601881;30562;2942986;0;111414;52905;1671737;0;427593;0;0;0;0;0;0;0;0;37057;27825;14191059;0;0;37057;0;1624843;1336719;40755;0
125;1132194;7604;0;712811;29590;5727153;0;447506;438477;3269073;0;365446;0;359259;0;0;0;0;0;21031;33701;3702;26724229;21031;2946996;33701;93403;1344862;3059342;778682;0
126;465229;0;0;539058;21840;2946520;0;76393;2293;692276;0;0;0;0;0;0;0;0;0;0;22609;15631;18206403;0;0;22609;635483;1279717;1963063;177915;0
127;419227;5661;0;271589;6301;1801765;0;133374;3655;455755;9421;0;0;458216;0;0;0;0;7069;0;19063;17045;13534209;0;0;19063;0;453947;1884820;86048;0
128;1021375;3589;0;592891;67740;3612951;0;374062;123903;5004592;20780;215143;821;1298345;0;0;0;0;0;194469;71461;2901;15306911;194856;5487380;71461;633599;888513;1927201;179391;0
129;2778690;61089;6137;555948;44555;3837719;0;933661;91770;9689104;5066;706354;923;2073475;0;0;0;0;413;62180;47171;10094;24144286;62180;3859556;47171;0;1623557;3866652;266702;20924
130;279809;1743;0;117430;20389;886718;0;214045;4824;822850;13065;414070;0;750488;0;0;0;0;0;37267;93297;0;10859635;37267;1018420;93297;769315;1022323;1559502;436612;0
131;225096;16525;166;225738;20433;1407610;0;56296;2789;382947;0;50235;17831;0;0;0;0;0;0;0;19489;224130;17034659;0;0;19489;0;759990;1559792;602806;0
132;240969;1341;0;216561;10648;1001945;0;35124;10976;858076;2458;136765;29975;371898;0;0;0;0;0;27652;19430;3084;9455719;27652;1144843;19430;0;1385775;2321742;111483;0
133;127914;0;0;205248;7785;1010636;0;0;17514;114481;150;0;4346;0;0;0;0;0;0;0;11790;13836;14986487;0;0;11790;0;69200;3059280;253780;0
134;625587;6229;1087;301197;76821;2268459;0;52259;12072;3053509;18790;299156;13329;1418131;0;0;0;0;0;0;116355;890;19227781;0;0;116355;2104743;813923;2131153;425702;0
135;118165;47;0;200033;18576;1216538;0;32454;6439;315723;4360;0;0;737009;0;0;0;0;0;0;17521;58814;13985880;0;0;17521;0;668204;2089405;613143;0
136;907789;10595;0;245385;31398;1776765;0;231108;4875;1543932;699;475784;0;703131;0;0;0;0;0;0;23264;0;16534646;0;0;23264;732497;462270;2275577;664530;0
137;315499;4697;0;311034;7839;1543746;0;0;13362;715503;2312;131149;86436;0;0;0;0;0;0;0;38173;6958;19014894;0;0;38173;0;560378;2182561;1288851;0
138;866303;4818;0;323748;32601;2054568;0;105473;45399;1589772;18288;371919;0;1256495;0;0;0;0;0;90757;23223;563;20341907;90757;2268538;23223;0;380845;3290481;234269;57
139;738172;827;0;474777;35968;3028025;0;281885;3570;1804088;9831;0;11997;1222392;0;0;0;0;0;0;19734;161006;24749128;0;0;19734;0;1311107;1976643;663984;0
140;1836971;20797;1747;750770;148228;5702406;0;158334;163557;4773908;3256;896;0;796337;0;0;0;0;0;29748;48739;92055;22469248;29748;2463861;48739;0;840367;3289730;393486;208
141;251446;4016;0;146598;10369;967582;0;598382;17668;689211;782;470894;781;82829;0;0;0;0;0;43642;33878;52;14502367;43642;1623166;33878;0;1562274;1588083;250465;194
142;11764158;467458;52083;3286879;1628418;28310002;3665;2908727;4013838;44631523;29376;176490;27927;4640463;0;0;0;33341;0;1021083;265010;317114;64749769;1025203;8830741;265010;54671;1502271;6534692;694686;4087
143;540329;4196;0;326335;27554;1954749;0;33760;47998;1163114;0;0;0;57435;0;0;0;0;0;0;36162;0;15172509;0;0;36162;186478;978206;1145556;268174;0
144;763930;3043;0;234420;46115;1658682;0;210411;72284;1714251;14039;104858;0;1182462;0;0;0;0;0;104636;56162;2824;16399991;104636;4082396;56162;256466;1473804;1838305;626430;0
145;1444157;15221;531;1113100;268874;9191790;0;199968;76635;7457127;5436;349205;0;629603;0;0;0;0;0;47509;55391;90503;35712603;47509;2031859;55391;536378;230966;2349253;464470;66
146;361059;2329;0;381081;6060;1722965;0;89675;0;747535;8347;189575;3756;445749;0;0;0;0;0;0;21591;4926;14348197;0;0;21591;0;1195480;1971348;150416;0
147;153979;0;0;175412;9327;991881;0;65721;61;225352;0;270300;0;0;0;0;0;0;0;0;10811;94130;13612110;0;0;10811;0;683950;2030594;127401;0
148;5022666;16785;2009;1350042;125170;9707132;0;463535;1373508;13536565;5086;658669;1596;1124071;0;0;0;6570;0;87377;45733;55200;19478797;87484;1512543;45733;801576;1229193;2655015;13591;1135
149;399992;180;0;518477;40810;2201797;0;107021;5281;1251027;8543;37429;0;1206674;0;0;0;0;0;0;30343;5325;10122288;0;0;30343;0;1311453;651198;56474;92
