"zone";"area_building_commercial_industrial";"area_building_commercial_innercity";"area_building_highrise";"area_building_lightweight";"area_building_multifamily";"area_building_singlefamily";"area_building_skyscraper";"area_other_airport";"area_other_parking";"area_other_remaining_impervious";"area_rail_bridge";"area_rail_exclude";"area_rail_other";"area_rail_railway";"area_rail_subway_elevated";"area_rail_subway_surface";"area_rail_subway";"area_rail_tram";"area_rail_tunnel";"area_street_bridge_motorway";"area_street_bridge_other";"area_street_exclude";"area_street_local";"area_street_motorway_elevated";"area_street_motorway";"area_street_other_elevated";"area_street_primary";"area_street_secondary";"area_street_tertiary";"area_street_track";"area_street_tunnel"
1783;2018580;531;0;730403;120;2032448;0;194992;174752;972846;1452;273402;362064;23236;0;0;0;0;2029;0;62407;1294600;127506938;0;0;62407;5485726;5645789;2274505;9213175;0
1784;1000960;1103;0;316884;4699;1487370;0;244468;163459;975082;2509;0;0;1395314;0;0;0;0;0;0;2560;0;28748474;0;0;2560;3333951;1589937;3886876;610183;0
1785;8449863;22771;0;1197887;3410;4993567;0;0;748506;3949669;14575;24645;0;630288;0;0;0;0;0;32334;201909;925320;65008904;32334;2335327;201909;5174679;3074046;2610572;11278361;7605
1786;7739108;26568;32271;1253725;1983;3413244;0;587443;1062862;10357335;208;137956;0;321450;0;0;0;0;0;0;207644;840735;97082324;0;18425;207644;10881593;6174150;5396985;32963487;7346
1787;1163620;840;0;423244;6409;1780627;0;567912;248333;827089;13740;308677;1419;1419131;0;0;0;0;0;65615;70767;361189;65072753;65728;5243618;70767;863059;3965236;1915366;7172535;6523
1788;5797268;36579;0;2323103;20564;9172878;0;722944;3303574;2418482;23895;384596;89;1571279;0;0;0;0;4265;113433;97502;1284014;47951670;113466;6100236;97502;1911736;1799382;2472142;5895586;5764
1789;1792274;853;0;150975;200;249155;0;355948;202165;1227042;8826;477;0;959670;0;0;0;0;0;69894;31570;902271;34296059;69894;4211654;31570;0;1539160;3024637;10710827;4803
1790;1099268;5272;0;316766;5723;677539;0;481385;531111;434555;45521;157451;0;2846772;0;0;0;0;0;102817;51303;670105;60734903;102817;6822930;51303;2711492;1307069;4314287;17806700;7412
1791;1581276;2792;0;625402;2601;1803738;0;390972;292840;721356;0;292347;0;0;0;0;0;0;0;0;16923;790142;32921747;0;0;16923;2125199;2301546;2426989;7390372;219
1792;834260;110;0;214881;241;796628;0;443502;53613;453407;8739;49636;0;3002387;0;0;0;0;0;10008;19696;223748;49092648;10008;4336034;19696;4916619;2070721;1673726;2553059;1476
