"zone";"mass_grand_t_10m2";"mass_building_commercial_industrial";"mass_building_commercial_innercity";"mass_building_highrise";"mass_building_lightweight";"mass_building_multifamily";"mass_building_singlefamily";"mass_building_skyscraper";"mass_building";"mass_other_airport";"mass_other_parking";"mass_other_remaining_impervious";"mass_other";"mass_rail_bridge";"mass_rail_other";"mass_rail_railway";"mass_rail_subway_elevated";"mass_rail_subway_surface";"mass_rail_subway";"mass_rail";"mass_rail_tram";"mass_rail_tunnel";"mass_street_bridge_motorway";"mass_street_bridge_other";"mass_street_local";"mass_street_motorway_elevated";"mass_street_motorway";"mass_street_other_elevated";"mass_street_primary";"mass_street_secondary";"mass_street_tertiary";"mass_street";"mass_street_track";"mass_street_tunnel"
9;18194419,265625;2192520,953125;45345,28515625;0;335916,927124858;199508,087280273;5306791,20961952;0;8080082,21679688;38335,41796875;15360,6162109375;1099098,63623047;1152794,69873047;4355,2490234375;0;502104,318359375;0;0;0;506459,560546875;0;0;23437,0825538635;13169,4013290405;5653027,359375;6236,36151695251;1062023,375;2777,52175140381;0;828505,477050781;853039,805938721;8455136,4296875;12898,6539802551;0
10;16505342,0173187;1647263,21875;105076,4140625;0;372279,748296738;73015,5126647949;4642236,75778198;0;6839871,29855347;98033,6640625;5787,90966796875;1066372,85504723;1170194,48004723;0;0;0;0;0;0;0;0;0;0;37770,59765625;6012384,348526;0;0;7966,0888671875;0;1463401,144104;891079,178318024;8495306,83372498;82711,9377441406;0
11;24418674,5625;1696071,75390625;31209,0264892578;76,6985626220703;591925,400390625;360301,639892578;6786319,859375;0;9465895,375;62015,8408203125;44594,6441650391;1475417,29296875;1582027,43359375;13029,5190429688;0;1033719,23828125;0;0;0;1046748,81640625;0;0;22544,0380859375;39372,2290039062;7338395,53125;5998,73168945312;2891630,25;8303,88739013672;95000,890625;854219,57421875;1054329,84667969;12323989;14207,5867004395;0
12;12098831,2988281;879231,8125;25163,837890625;0;217541,338706017;77596,8828125;1643511,74925041;0;2843043,66608047;51864,484375;9845,4951171875;525644,584075928;587354,681732178;3123,4931640625;0;498731,450927734;0;0;0;501854,888427734;0;0;0;18654,1469726562;6088283,12402344;0;0;3934,29388427734;0;1810683,00604248;223512;8166580,14990234;21508,9600830078;0
13;18047581,4375;1781129,5518074;7313,72583007812;3381,587890625;312357,407196045;183211,919128418;2819093,95495605;0;5106488,49682617;91483,072265625;115,27880859375;1256003,62061691;1347601,68311691;5254,6513671875;0;779160,453125;0;0;0;784415,1015625;0;0;0;26822,58984375;7753378,7421875;0;0;5657,07568359375;99722,796875;1737283,98046875;1166857,234375;10809077,8828125;19385,0378417969;0
14;12172398;1084686,375;27769,681640625;0;223578,109375;139752,984375;2758333;0;4234112,5;48845,0234375;300,752166748047;261187,03125;310332,53125;1502,67895507812;0;472763,125;0;0;0;474265,84375;0;0;0;8218,53125;5239776;0;0;1733,34729003906;0;692009,1875;1112490;7153654;99421,6796875;0
15;13302085,8090363;905206,66015625;11059,2932128906;0;212196,288574219;89457,5595703125;2803953,6796875;0;4021872,78125;0;11915,3776855469;337614,627929688;349529,975585938;10512,4526367188;0;380945,7578125;0;0;0;391458,0859375;0;0;50258,158203125;27219,0498046875;4853202,10054016;13373,1706542969;2143698,72189331;5740,69482421875;0;839126,41015625;569734,677978516;8539218,2816925;36868,2834243774;0
16;23703575,546875;2993665,67626953;19497,599609375;0;845485,642089844;402968,513061523;6543749,26953125;0;10805376,9726562;661482,0625;47939,44921875;1750911,99951172;2460336,74951172;1529,45642089844;4154,40966796875;170760,024658203;0;0;0;176443,930908203;0;0;0;22809,212890625;6027447,51171875;0;0;4810,626953125;0;1949219,5234375;2227739,62304688;10261436,625;29377,4881286621;0
17;32250921,261322;6072818,28125;123552,523925781;14693,150390625;602117,0234375;130131,22265625;8919454,875;0;15862756,375;395850,71875;113677,991882324;3922182,734375;4431715,203125;9717,0107421875;0;1690056,83944702;0;0;0;1699773,71444702;0;0;0;114153,389648438;6455565,25;0;0;24075,7797851562;138166,421875;2685996,9375;813789,59375;10256673;21449,7172851562;3480,18334960938
18;15095885,875;635108,17578125;3731,93896484375;0;196358,71484375;40492,1948242188;1473862,703125;0;2349552,4375;237407,8125;18879,478515625;333027,078125;589314,484375;0;0;650805,693359375;0;0;0;650805,693359375;0;0;41984,69921875;24526,7691650391;6577846,375;11171,6875;3061317;5172,87437438965;0;1145135,6875;592757;11506217,375;46297,7729492188;0
19;11093003;479684,15625;8981,548828125;0;152558,515625;114958,21875;2123750,25;0;2879933;50925,046875;0;84050,78125;134975,90625;4265,4658203125;0;206389,125;0;0;0;210654,53125;0;0;0;17199,94140625;5456105;0;0;3627,59301757812;121612,4609375;1503320,875;691726,5;7867434;73119,7578125;737,647583007812
20;23802022,2109375;2432975,75;25802,654296875;0;721163,434673309;178669,25;4938819,91192627;0;8297441,40911865;255930,375;8300,64453125;1263555,50805664;1527786,00805664;16165,6142578125;5097,634765625;717982,0625;0;0;0;739245;0;0;0;83812,6953125;9081081,77734375;0;0;17676,69921875;0;3358734,77575684;476294,713562012;13237501,0429688;219901,16509819;0
21;10174155,5;999949,515625;1905,65563964844;0;345575,1640625;60303,0263671875;2105137,25;0;3512871,625;60498,75;0;229710,6875;290209,515625;0;0;0;0;0;0;0;0;0;0;7690,38134765625;4523411,375;0;0;1621,95666503906;0;1409152,671875;407872,640625;6371064,25;21312,7119140625;0
22;48548780;6381433;98125,0703125;2343,09350585938;1651442,625;855100,875;17518278;0;26506676;216524,140625;292847,59375;4328347,5;4837721;3909,48583984375;0;532262;0;0;0;536171,5625;0;0;26882,154296875;44208,58984375;10612128;7153,0595703125;2603759;9323,9169921875;1270,76879882812;2626482,5;728826,875;16668297;3787,01440429688;4421,15673828125
23;25927594,125;3230374,42382812;33246,73828125;0;682919,046875;408649,269897461;5436709,88671875;0;9791909,734375;3265341,1953125;96298,90625;2336476,01318359;5698110,4609375;22089,6953125;0;952706,8125;0;0;0;974796,26171875;0;0;0;67644,7182617188;5892708,328125;0;0;14266,7546386719;0;1594841,09375;1874684,359375;9462788,84375;18622,0058288574;0
24;25496726;2291315,25;41239,62890625;0;454032,34375;218136,75;4109830,75;0;7114549,5;547945,3125;1611,04992675781;2502292,5;3051849,5;31671,236328125;187,662155151367;1974968,75;0;0;0;2006828;0;0;0;70153,7890625;9447946;0;5997,48583984375;14795,9404296875;153293,34375;1982047;1613771;13323521;35536,35546875;0
25;43061368,5273438;5909260,25;49715,20703125;0;1229336,6570816;247886,0625;12992137,5118103;0;20428336,7001648;169288,162109375;4834,86181640625;2999588;3173710,25;0;0;649201,848937988;0;0;0;649201,848937988;0;0;17359,091796875;46862,234375;10984405,965332;4619,07177734375;4256768,35083008;9883,58251953125;0;1335925,88467407;2129743,4019165;18810115,6044922;24534,380859375;0
26;28252913,5;3248975,046875;48165,6826171875;0;879183,8359375;1236250,0234375;8634088,1875;0;14046624,125;179092,953125;310203,5;1785090,97851562;2274388,60351562;7715,01123046875;0;271253,28125;0;0;0;278968,25;0;0;70936,875;69269,2431640625;7865157,5;18875,55859375;484552,875;14609,3908691406;647,634094238281;1299964,0625;1810322,953125;11652907,875;18614,1352233887;0
27;24733000,7490234;2028319,86315918;131993,236206055;4255,4609375;481079,643005371;78554,19921875;3492220,95797729;0;6216425,5435791;300780,6015625;43128,5399780273;1520210,18334961;1864120,93334961;38932,626953125;0;1641166,3671875;0;0;0;1680099,4765625;0;0;64863,8310546875;94787,8851966858;8772176,23925781;17259,5861816406;2884036,25;19991,4442615509;0;2569701,12365723;377096,573486328;14972348,8515625;172421,850769043;0
28;52620260;6929764,5;126213,75;36813,94140625;1321701,75;1212233,25;18346306;0;27973046;306022,6875;208426,40625;6551746;7066195;25896,796875;4222,0908203125;1107575,5;0;0;0;1137694,75;0;0;215080,359375;101025,546875;8586320;57394,03515625;3035492,5;21307,001953125;201,320465087891;2994583,75;1412793,25;16443204;5725,40283203125;13296,576171875
29;13274165,0429688;1070082,56640625;14713,7158203125;0;194822,637817383;34577,368347168;2897859,1496582;0;4212054,08349609;91957,140625;0;527412,989738464;619370,260246277;3293,60766601562;0;359070,3984375;0;0;0;362364,0234375;0;0;0;30380,791015625;5668142,81054688;0;0;6407,52856445312;0;958138,5;1390470,98339844;8080344,92578125;26819,8442382812;0
30;19713145,9855194;2770084,75;6723,09228515625;0;398036,875;92549,4140625;5422280,5;0;8689666;20689,01171875;19358,279296875;1552892,5;1592940;0;0;376412,90625;0;0;0;376412,90625;0;0;0;84977,7734375;5596655,48551941;0;0;17922,4140625;204432,84375;2114471,75;980395,6875;9054126,98551941;55275,34375;0
31;14523887,9654541;1281610,875;128,625701904297;0;561722,008270264;132188,41015625;3555237,38452148;0;5530889,18969727;142906,328125;3022,359375;526720,875;672649,59375;2991,18206787109;22115,89453125;0;0;0;0;25107,0751953125;0;0;0;36320,7182617188;5807904,4312439;0;0;7660,29626464844;0;1224182,40625;1196759,87548828;8295243,77404785;22404,4355874062;0
32;13268173,5;408835,484375;33792,58203125;0;121786,5390625;54013,7822265625;1656148;0;2274577;0;26551,22265625;300793,29296875;327344,43359375;53701,0862426758;0;1172128,875;0;0;0;1225826,265625;0;0;162314,794921875;84972,017578125;4660643,75;43190,2622070312;2919176,25;17921,2465820312;0;1121927,28125;391271,265625;9440408,75;38532,259765625;477,579528808594
