FIPS,grid_index
1001,0.263300897
1003,0.370014601
1005,0.249943476
1007,0.14339235
1009,0.145441105
1011,0.171788157
1013,0.22887636
1015,0.357982933
1017,0.254874779
1019,0.164551828
1021,0.187038257
1023,0.134567237
1025,0.14692135
1027,0.127466604
1029,0.109056448
1031,0.276091646
1033,0.474117626
1035,0.161671612
1037,0.098277316
1039,0.326195611
1041,0.183326128
1043,0.254148686
1045,0.243834006
1047,0.305025543
1049,0.252197862
1051,0.216741882
1053,0.319689852
1055,0.357483084
1057,0.137884195
1059,0.272617611
1061,0.342219752
1063,0.145856823
1065,0.200824602
1067,0.198513481
1069,0.418141952
1071,0.244719804
1073,0.381552194
1075,0.128616859
1077,0.335353987
1079,0.310261251
1081,0.288762247
1083,0.416641426
1085,0.152533475
1087,0.227599522
1089,0.367519456
1091,0.242154994
1093,0.157918825
1095,0.278859419
1097,0.374556527
1099,0.176005493
1101,0.39459025
1103,0.403234735
1105,0.182730042
1107,0.152472982
1109,0.215977231
1111,0.119717207
1113,0.305217183
1115,0.158076259
1117,0.183869711
1119,0.204435964
1121,0.279366459
1123,0.173893158
1125,0.320153486
1127,0.22055954
1129,0.141004279
1131,0.112901438
1133,0.132837613
2013,0.098220454
2016,0.157606985
2020,0.419789009
2050,0.191743529
2060,0.116505175
2068,0.17257976
2070,0.142337195
2090,0.38085904
2100,0.194391873
2105,0.103264729
2110,0.303043188
2122,0.231151234
2130,0.2106967
2150,0.234463541
2158,0.139037273
2164,0.110969686
2170,0.247824038
2180,0.282502731
2185,0.225320963
2188,0.284343961
2195,0.330315783
2198,0.238691648
2220,0.134092276
2230,0.612667004
2240,0.292264018
2261,0.193569473
2275,0.138850547
2282,0.141667234
2290,0.215483221
4001,0.186757627
4003,0.44575421
4005,0.280477963
4007,0.19584546
4009,0.345408739
4011,0.188124601
4012,0.366289173
4013,0.435142876
4015,0.399333908
4017,0.263556806
4019,0.438253872
4021,0.405137788
4023,0.188423956
4025,0.25057021
4027,0.544884862
5001,0.531097061
5003,0.342451831
5005,0.248453382
5007,0.3396835
5009,0.30797448
5011,0.363116745
5013,0.245273012
5015,0.197912308
5017,0.429499996
5019,0.326677902
5021,0.496764017
5023,0.240858342
5025,0.218743625
5027,0.362533216
5029,0.313070985
5031,0.409694926
5033,0.340978031
5035,0.45100485
5037,0.365477871
5039,0.286837922
5041,0.369585566
5043,0.279737831
5045,0.334683246
5047,0.291899596
5049,0.168488477
5051,0.271290519
5053,0.277527816
5055,0.40089771
5057,0.323132112
5059,0.319770123
5061,0.364727195
5063,0.306341116
5065,0.219491242
5067,0.413861929
5069,0.480040982
5071,0.304864632
5073,0.309081085
5075,0.396879719
5077,0.374805177
5079,0.260983888
5081,0.436554187
5083,0.365784156
5085,0.383089109
5087,0.150416802
5089,0.199702806
5091,0.509213299
5093,0.474902748
5095,0.398215733
5097,0.102211264
5099,0.297704024
5101,0.076698327
5103,0.299802914
5105,0.272536972
5107,0.428455249
5109,0.167680256
5111,0.41028437
5113,0.217521505
5115,0.342467099
5117,0.47409271
5119,0.38882167
5121,0.348762431
5123,0.364622776
5125,0.244546606
5127,0.229590193
5129,0.131604395
5131,0.489774634
5133,0.320204772
5135,0.150240162
5137,0.108464349
5139,0.352220967
5141,0.154809607
5143,0.359351707
5145,0.386847147
5147,0.412136357
5149,0.275091002
6001,0.479599334
6003,0.131171474
6005,0.127548894
6007,0.387291272
6009,0.119282461
6011,0.434586412
6013,0.350211575
6015,0.37068799
6017,0.204512764
6019,0.534348657
6021,0.47919533
6023,0.327806045
6025,0.612144254
6027,0.371382109
6029,0.501855296
6031,0.540202759
6033,0.250977664
6035,0.313305073
6037,0.562378378
6039,0.466954163
6041,0.217670923
6043,0.096029698
6045,0.242466443
6047,0.515499293
6049,0.308246249
