"","FIPS","POPPCT_URBAN","POPPCT_RURAL"
"1","01001",57.9978376793535,42.0021623206465
"2","01003",57.7209008860725,42.2790991139275
"3","01005",32.2103652984667,67.7896347015333
"4","01007",31.6473925376391,68.3526074623609
"5","01009",10.0484979588989,89.9515020411012
"6","01011",48.6256184716877,51.3743815283123
"7","01013",28.7678426504989,71.2321573495011
"8","01015",66.3031744425328,33.6968255574672
"9","01017",50.8519655122022,49.1480344877978
"10","01019",14.2637269614067,85.7362730385933
"11","01021",13.2552757601448,86.7447242398552
"12","01023",0,100
"13","01025",24.019664769868,75.980335230132
"14","01027",0,100
"15","01029",0,100
"16","01031",52.8049171137984,47.1950828862017
"17","01033",56.1053134416109,43.8946865583891
"18","01035",19.0504989416389,80.9495010583611
"19","01037",0,100
"20","01039",30.3482060108566,69.6517939891434
"21","01041",0,100
"22","01043",26.7604407631271,73.2395592368729
"23","01045",49.1114604684484,50.8885395315516
"24","01047",54.3610223642172,45.6389776357827
"25","01049",9.8693554964913,90.1306445035087
"26","01051",45.8116338600053,54.1883661399947
"27","01053",36.4884261071531,63.5115738928469
"28","01055",62.5165182418845,37.4834817581155
"29","01057",19.7668348703671,80.2331651296329
"30","01059",29.6334847337875,70.3665152662125
"31","01061",10.3583426651736,89.6416573348264
"32","01063",0,100
"33","01065",10.8312182741117,89.1687817258883
"34","01067",12.2471390590683,87.7528609409317
"35","01069",66.195948674013,33.804051325987
"36","01071",22.9826967516486,77.0173032483514
"37","01073",90.1662348549507,9.83376514504925
"38","01075",0,100
"39","01077",50.7048938075052,49.2951061924948
"40","01079",8.71021287748624,91.2897871225138
"41","01081",72.5905010445856,27.4094989554144
"42","01083",42.3908579159721,57.6091420840279
"43","01085",0,100
"44","01087",44.4527316800298,55.5472683199702
"45","01089",83.5584852349535,16.4415147650465
"46","01091",30.6843582061159,69.3156417938841
"47","01093",11.1450480894203,88.8549519105797
"48","01095",46.7313129575678,53.2686870424322
"49","01097",79.9797574771424,20.0202425228576
"50","01099",20.9554361019594,79.0445638980406
"51","01101",89.5087699410977,10.4912300589023
"52","01103",61.4026278349653,38.5973721650347
"53","01105",0,100
"54","01107",0,100
"55","01109",48.3206176479528,51.6793823520472
"56","01111",18.657530659451,81.342469340549
"57","01113",64.5910061004401,35.4089938995599
"58","01115",27.2032347206106,72.7967652793894
"59","01117",77.0551298152088,22.9448701847912
"60","01119",0,100
"61","01121",44.1846617491585,55.8153382508415
"62","01123",25.7737408688966,74.2262591311034
"63","01125",74.4919242150255,25.5080757849745
"64","01127",25.912000358086,74.087999641914
"65","01129",0,100
"66","01131",0,100
"67","01133",15.1078255187061,84.8921744812939
"68","04001",25.9389244665679,74.0610755334321
"69","04003",63.6989325902578,36.3010674097422
"70","04005",68.5339344298882,31.4660655701118
"71","04007",58.9380002612086,41.0619997387914
"72","04009",53.5626007522837,46.4373992477163
"73","04011",53.4313144482636,46.5686855517364
"74","04012",43.6722143589243,56.3277856410757
"75","04013",97.6362003050994,2.36379969490063
"76","04015",77.0363561887445,22.9636438112555
"77","04017",45.8617576710812,54.1382423289188
