"","FIPS","YEAR","RNETMIG"
"175","06035","2011",-20.03561243
"176","06037","2011",-2.160638969
"177","06039","2011",-4.896567447
"178","06041","2011",7.5627606831
"179","06043","2011",-5.487420089
"180","06045","2011",-7.331570863
"181","06047","2011",-1.015468453
"182","06049","2011",-19.26782274
"183","06051","2011",3.4171344887
"184","06053","2011",-1.065928643
"185","06055","2011",4.3286573146
"186","06057","2011",0.9418150701
"187","06059","2011",4.4897782846
"188","06061","2011",14.802880729
"189","06063","2011",-7.064819721
"190","06065","2011",7.1872281963
"191","06067","2011",1.6867983859
"192","06069","2011",-0.556088723
"193","06071","2011",0.3886217216
"194","06073","2011",2.8850862641
"195","06075","2011",8.5963402636
"196","06077","2011",2.1107782156
"197","06079","2011",3.2281921384
"198","06081","2011",5.6186176792
"199","06083","2011",-3.92145786
"200","06085","2011",6.21940394
"201","06087","2011",0.6552968248
"202","06089","2011",1.4991743269
"203","06091","2011",-32.9218107
"204","06093","2011",-5.449287014
"205","06095","2011",0.1926993445
"206","06097","2011",2.555092905
"207","06099","2011",-3.290387865
"208","06101","2011",-9.268996422
"209","06103","2011",-5.390495705
"210","06105","2011",-1.530612245
"211","06107","2011",-3.324518153
"212","06109","2011",-3.526631522
"213","06111","2011",-1.099567664
"214","06113","2011",-1.607832726
"215","06115","2011",-7.663787568
"216","08001","2011",8.2130435365
"217","08003","2011",5.8929028952
"218","08005","2011",11.932300349
"219","08007","2011",-6.731208709
"220","08009","2011",1.8457481872
"221","08011","2011",-8.820798514
"222","08013","2011",11.499275623
"223","08014","2011",15.881251154
"224","08015","2011",12.836254046
"225","08017","2011",16.233766234
"226","08019","2011",-9.284845805
"227","08021","2011",-4.698229129
"228","08023","2011",30.683403068
"229","08025","2011",3.9172272843
"230","08027","2011",-10.58325494
"231","08029","2011",-14.72580935
"232","08031","2011",18.916748169
"233","08033","2011",-12.15657671
"234","08035","2011",10.077218412
"235","08037","2011",-12.04032645
"236","08039","2011",-1.554404145
"237","08041","2011",7.4426418294
"238","08043","2011",14.647193683
"239","08045","2011",-10.68498038
"240","08047","2011",-11.19368749
"241","08049","2011",-18.73360809
"242","08051","2011",-8.510081173
"243","08053","2011",-20.37147993
"244","08055","2011",-14.0813082
"245","08057","2011",-24.03495994
"246","08059","2011",5.8435729062
"247","08061","2011",21.164021164
"248","08063","2011",-13.99452388
"249","08065","2011",2.1907304717
"250","08067","2011",3.1178287518
"251","08069","2011",11.032100739
"252","08071","2011",-21.19770304
"253","08073","2011",-11.93755739
"254","08075","2011",-8.73651466
"255","08077","2011",2.1810771113
"256","08079","2011",7.0671378092
"257","08081","2011",-36.2273579
"258","08083","2011",-4.622737601
"259","08085","2011",-7.594936709
"260","08087","2011",1.0583317164
"261","08089","2011",-2.652660619
"262","08091","2011",-9.685775425
"263","08093","2011",-15.77287066
"264","08095","2011",-13.0777903
"265","08097","2011",-6.060076334
"266","08099","2011",-2.794745878
"267","08101","2011",3.6486072083
"268","08103","2011",8.9753178758
"269","08105","2011",-10.94585561
"270","08107","2011",-13.92280341
"271","08109","2011",2.9211295034
"272","08111","2011",-25.75107296
"273","08113","2011",9.7008892482
"274","08115","2011",5.0600885515
"275","08117","2011",-10.22899403
"276","08119","2011",-8.198471327
"277","08121","2011",-9.600333925
"278","08123","2011",8.97016572
"279","08125","2011",4.8555715206
"280","09001","2011",5.1110912629
"281","09003","2011",-0.204229675
"282","09005","2011",-3.569778341
"283","09007","2011",2.9657313361
"284","09009","2011",-1.365193246
"285","09011","2011",-5.50598584
