"","FIPS","YEAR","RINTERNATIONALMIG"
"206","06097","2011",0.2118957884
"207","06099","2011",1.1252003234
"208","06101","2011",2.9910216506
"209","06103","2011",0.315233667
"210","06105","2011",-0.072886297
"211","06107","2011",-0.811461158
"212","06109","2011",0.7634975459
"213","06111","2011",0.5860333157
"214","06113","2011",4.0989809616
"215","06115","2011",0.6766226862
"216","08001","2011",2.8932058775
"217","08003","2011",0.4483730464
"218","08005","2011",4.819443188
"219","08007","2011",0.7479120788
"220","08009","2011",0.2636783125
"221","08011","2011",2.9402661715
"222","08013","2011",3.3781853262
"223","08014","2011",2.180814112
"224","08015","2011",1.0603862038
"225","08017","2011",9.1991341991
"226","08019","2011",2.9844147231
"227","08021","2011",1.4456089628
"228","08023","2011",4.7419804742
"229","08025","2011",5.4500553521
"230","08027","2011",0
"231","08029","2011",0.8815894732
"232","08031","2011",4.2945070999
"233","08033","2011",0
"234","08035","2011",1.4770717398
"235","08037","2011",5.3192510802
"236","08039","2011",0.2158894646
"237","08041","2011",1.4141810405
"238","08043","2011",1.9317313407
"239","08045","2011",2.3367820193
"240","08047","2011",0
"241","08049","2011",1.4305664362
"242","08051","2011",0.3927729772
"243","08053","2011",0
"244","08055","2011",3.0282383224
"245","08057","2011",0
"246","08059","2011",1.2490079494
"247","08061","2011",0
"248","08063","2011",2.0687557043
"249","08065","2011",-0.273841309
"250","08067","2011",0.3292117316
"251","08069","2011",1.6047892723
"252","08071","2011",1.0500410172
"253","08073","2011",1.2855831038
"254","08075","2011",-0.529485737
"255","08077","2011",0.4634788862
"256","08079","2011",0
"257","08081","2011",1.6901201455
"258","08083","2011",0.5876361357
"259","08085","2011",1.4362220058
"260","08087","2011",6.0324907837
"261","08089","2011",0.2652660619
"262","08091","2011",-0.225250591
"263","08093","2011",-0.185563184
"264","08095","2011",9.4701240135
"265","08097","2011",3.671007779
"266","08099","2011",1.5969976444
"267","08101","2011",0.5695081577
"268","08103","2011",2.5430067315
"269","08105","2011",0.5848930481
"270","08107","2011",1.1138242728
"271","08109","2011",3.2456994482
"272","08111","2011",0
"273","08113","2011",4.7157100512
"274","08115","2011",1.2650221379
"275","08117","2011",6.3441147643
"276","08119","2011",-0.469704086
"277","08121","2011",0.8348116456
"278","08123","2011",1.4852816772
"279","08125","2011",5.7474111876
"280","09001","2011",4.9887541918
"281","09003","2011",4.1526700519
"282","09005","2011",0.6231269885
"283","09007","2011",1.8083727659
"284","09009","2011",3.2618739391
"285","09011","2011",2.9686988727
"286","09013","2011",1.8152790339
"287","09015","2011",2.018078266
"288","10001","2011",1.3168082032
"289","10003","2011",2.0172838661
"290","10005","2011",1.1098639789
"291","11001","2011",3.9411408411
"292","12001","2011",4.9010147794
"293","12003","2011",0.2956666359
