"","FIPS","YEAR","RNATURALINC"
"1","01001","2011",2.2545454545
"2","01003","2011",1.9476830687
"3","01005","2011",0.2926757884
"4","01007","2011",-0.526142716
"5","01009","2011",3.0451729658
"6","01011","2011",3.3409122547
"7","01013","2011",0.4784917939
"8","01015","2011",0.508147295
"9","01017","2011",-1.203139902
"10","01019","2011",-3.310748383
"11","01021","2011",2.060864189
"12","01023","2011",-3.277733265
"13","01025","2011",-1.518898604
"14","01027","2011",-4.350190321
"15","01029","2011",0.6013630897
"16","01031","2011",3.4177164885
"17","01033","2011",-1.228647662
"18","01035","2011",-2.421399115
"19","01037","2011",-5.931402046
"20","01039","2011",-0.659378338
"21","01041","2011",0.0720383244
"22","01043","2011",1.0692128853
"23","01045","2011",4.4371045406
"24","01047","2011",0.8725101889
"25","01049","2011",1.7400089807
"26","01051","2011",3.2592685449
"27","01053","2011",1.1234634025
"28","01055","2011",-0.996035014
"29","01057","2011",-3.967212158
"30","01059","2011",0.0314851547
"31","01061","2011",-0.485681729
"32","01063","2011",-0.111769308
"33","01065","2011",-0.964444159
"34","01067","2011",-2.364952557
"35","01069","2011",4.0727215766
"36","01071","2011",-1.39100359
"37","01073","2011",2.9415250349
"38","01075","2011",-4.099072498
"39","01077","2011",-1.629402624
"40","01079","2011",-2.222449666
"41","01081","2011",5.7699597086
"42","01083","2011",3.8758311702
"43","01085","2011",-0.624191894
"44","01087","2011",-0.934819697
"45","01089","2011",4.543705414
"46","01091","2011",-0.720859264
"47","01093","2011",-4.490141212
"48","01095","2011",3.1440991995
"49","01097","2011",3.5746137082
"50","01099","2011",-0.218335844
"51","01101","2011",5.3935739295
"52","01103","2011",2.2033785137
"53","01105","2011",-1.237329272
"54","01107","2011",-2.403907629
"55","01109","2011",1.878930222
"56","01111","2011",-3.458692702
"57","01113","2011",4.2154696643
"58","01115","2011",3.270743557
"59","01117","2011",6.1931448993
"60","01119","2011",-2.351212344
"61","01121","2011",-0.877861432
"62","01123","2011",-0.965274259
"63","01125","2011",3.4716815447
"64","01127","2011",-1.422347322
"65","01129","2011",-1.772390726
"66","01131","2011",0
"67","01133","2011",-2.583343585
"68","04001","2011",6.7078209303
"69","04003","2011",4.1673115179
"70","04005","2011",8.0331142822
"71","04007","2011",-0.542051009
"72","04009","2011",7.3776892216
"73","04011","2011",7.4450484519
"74","04012","2011",-0.243303083
"75","04013","2011",7.1289927697
"76","04015","2011",-1.791003309
"77","04017","2011",7.925704649
"78","04019","2011",3.4944144698
"79","04021","2011",6.7253528103
"80","04023","2011",9.1079278938
"81","04025","2011",-3.630099496
"82","04027","2011",9.5557644612
"83","05001","2011",-1.267159451
"84","05003","2011",1.4252218289
"85","05005","2011",-8.351536948
"86","05007","2011",7.4950637944
"87","05009","2011",0.2433122913
"88","05011","2011",-0.436643088
"89","05013","2011",-3.206034889
"90","05015","2011",0.3998618659
"91","05017","2011",-1.021189686
"92","05019","2011",-1.177676488
"93","05021","2011",-3.758691975
"94","05023","2011",-3.740768593
"95","05025","2011",-0.576335658
"96","05027","2011",-0.849652047
"97","05029","2011",0.8028904055
"98","05031","2011",5.165178091
"99","05033","2011",2.1332988558
"100","05035","2011",5.6762749446
"101","05037","2011",0.2242718174
"102","05039","2011",-0.372162263
"103","05041","2011",3.6597235741
"104","05043","2011",2.9410978316
"105","05045","2011",6.7128081769
"106","05047","2011",-1.825675638
"107","05049","2011",-5.970149254
"108","05051","2011",-2.011185926
"109","05053","2011",-0.334886836
"110","05055","2011",1.9773080363
"111","05057","2011",3.0165912519
"112","05059","2011",0.9341147756
"113","05061","2011",1.8108068956
"114","05063","2011",1.7369356655
"115","05065","2011",-6.007766137
"116","05067","2011",-2.782105497
"117","05069","2011",2.4905463555
"118","05071","2011",2.7327204232
"119","05073","2011",-5.927682276
