"","FIPS","YEAR","RBIRTH"
"184","06053","2011",16.400005258
"185","06055","2011",10.95281472
"186","06057","2011",7.7876966545
"187","06059","2011",12.611547773
"188","06061","2011",10.909621165
"189","06063","2011",8.5282466631
"190","06065","2011",13.979925359
"191","06067","2011",14.145149421
"192","06069","2011",13.66901958
"193","06071","2011",15.328859551
"194","06073","2011",14.321911785
"195","06075","2011",10.978592423
"196","06077","2011",15.273463768
"197","06079","2011",9.7770217801
"198","06081","2011",12.629459208
"199","06083","2011",13.529735761
"200","06085","2011",13.355404278
"201","06087","2011",12.283974584
"202","06089","2011",11.86376676
"203","06091","2011",5.3814498259
"204","06093","2011",10.317912298
"205","06095","2011",12.465238845
"206","06097","2011",10.921890686
"207","06099","2011",15.076909669
"208","06101","2011",14.109589765
"209","06103","2011",11.553313894
"210","06105","2011",8.1632653061
"211","06107","2011",18.3241866
"212","06109","2011",8.071259771
"213","06111","2011",13.301143792
"214","06113","2011",12.03393321
"215","06115","2011",17.30220869
"216","08001","2011",16.283212709
"217","08003","2011",14.988470407
"218","08005","2011",13.271130295
"219","08007","2011",11.218681182
"220","08009","2011",10.019775873
"221","08011","2011",6.3447848963
"222","08013","2011",10.06732841
"223","08014","2011",11.906541563
"224","08015","2011",8.0366112289
"225","08017","2011",11.363636364
"226","08019","2011",7.4057698685
"227","08021","2011",12.649078424
"228","08023","2011",10.041841004
"229","08025","2011",5.4500553521
"230","08027","2011",4.9388523048
"231","08029","2011",11.134148532
"232","08031","2011",15.697501979
"233","08033","2011",8.2664721614
"234","08035","2011",12.251412795
"235","08037","2011",12.578012482
"236","08039","2011",7.7720207254
"237","08041","2011",14.602131079
"238","08043","2011",8.0241148
"239","08045","2011",15.412058509
"240","08047","2011",8.4411413891
"241","08049","2011",7.1528321809
"242","08051","2011",9.8193244305
"243","08053","2011",5.9916117436
"244","08055","2011",6.8135362253
"245","08057","2011",8.0116533139
"246","08059","2011",10.324760653
"247","08061","2011",13.403880071
"248","08063","2011",12.534225738
"249","08065","2011",14.239748066
"250","08067","2011",10.515410014
"251","08069","2011",10.962757992
"252","08071","2011",9.7785069729
"253","08073","2011",11.753902663
"254","08075","2011",9.2660003971
"255","08077","2011",12.99785641
"256","08079","2011",7.0671378092
"257","08081","2011",13.741411618
"258","08083","2011",12.066128653
"259","08085","2011",12.098344693
"260","08087","2011",16.227752985
"261","08089","2011",13.263303093
"262","08091","2011",6.3070165559
"263","08093","2011",7.051401002
"264","08095","2011",11.273957159
"265","08097","2011",10.138973866
"266","08099","2011",11.338683275
"267","08101","2011",11.678046399
"268","08103","2011",15.557217651
"269","08105","2011",12.44986631
"270","08107","2011",9.7673820846
"271","08109","2011",11.684518014
"272","08111","2011",11.444921316
"273","08113","2011",9.970358394
"274","08115","2011",12.228547333
"275","08117","2011",10.977457008
"276","08119","2011",9.4794824715
"277","08121","2011",8.5568193676
"278","08123","2011",14.638406032
"279","08125","2011",15.359460932
"280","09001","2011",11.268002089
"281","09003","2011",10.86100106
"282","09005","2011",8.2115463319
"283","09007","2011",9.2407848338
"284","09009","2011",10.72817254
"285","09011","2011",10.108931506
"286","09013","2011",7.7116710035
"287","09015","2011",10.09039133
"288","10001","2011",13.47899508
"289","10003","2011",12.658918939
"290","10005","2011",11.28445412
"291","11001","2011",15.013558896
"292","12001","2011",11.353950564
"293","12003","2011",13.304998614
"294","12005","2011",12.486679399
"295","12007","2011",11.023926133
"296","12009","2011",9.271136169
"297","12011","2011",11.93632491
"298","12013","2011",9.1268219589
"299","12015","2011",6.2299839872
"300","12017","2011",7.5532948668
"301","12019","2011",10.985889802
"302","12021","2011",10.098275942
"303","12023","2011",11.403573812
"304","12027","2011",12.152653377
"305","12029","2011",9.6323843199
"306","12031","2011",14.469646711
"307","12033","2011",12.777873557
"308","12035","2011",8.3295440453
"309","12037","2011",9.2197964686
"310","12039","2011",12.483318797
"311","12041","2011",10.590104136
"312","12043","2011",5.6796078736
"313","12045","2011",8.040773687
"314","12047","2011",12.36423253
"315","12049","2011",14.653336702
"316","12051","2011",15.87566202
"317","12053","2011",8.790802045
"318","12055","2011",9.2536223061
"319","12057","2011",13.289669229
"320","12059","2011",10.080391119
"321","12061","2011",9.5395009608
"322","12063","2011",9.3479690424
"323","12065","2011",8.8102718208
"324","12067","2011",8.9742133364
"325","12069","2011",10.09672124
"326","12071","2011",10.010371538
"327","12073","2011",11.022076624
"328","12075","2011",9.6697209136
"329","12077","2011",9.6310118582
"330","12079","2011",11.569128146
"331","12081","2011",10.215477447
"332","12083","2011",10.108240145
"333","12085","2011",8.1552344121
"334","12086","2011",12.399873859
"335","12087","2011",9.7698845686
"336","12089","2011",10.564739505
"337","12091","2011",14.342375425
"338","12093","2011",13.793276091
"339","12095","2011",12.987556179
"340","12097","2011",13.66703557
"341","12099","2011",10.268461749
"342","12101","2011",10.240881763
"343","12103","2011",9.2606167095
"344","12105","2011",11.828036767
"345","12107","2011",12.213265527
"346","12109","2011",9.5416349344
"347","12111","2011",11.025989833
"348","12113","2011",11.62496841
"349","12115","2011",7.4263011772
"350","12117","2011",10.504070592
"351","12119","2011",4.5877047432
"352","12121","2011",11.295743092
"353","12123","2011",11.224782907
"354","12125","2011",11.282583323
"355","12127","2011",9.2789593328
"356","12129","2011",10.906501829
"357","12131","2011",11.279654211
"358","12133","2011",9.0188909202
"359","13001","2011",14.078764982
"360","13003","2011",16.383640277
"361","13005","2011",12.248390147
"362","13007","2011",10.382675764
"363","13009","2011",10.981634921
"364","13011","2011",9.8202351401
"365","13013","2011",15.409977064
"366","13015","2011",12.799376517
"367","13017","2011",14.871154501
"368","13019","2011",11.564573169
"369","13021","2011",14.691130518
"370","13023","2011",11.026878015
"371","13025","2011",10.367170626
"372","13027","2011",12.101278391
"373","13029","2011",13.853740834
"374","13031","2011",11.760105031
"375","13033","2011",13.833738952
"376","13035","2011",11.815592362
"377","13037","2011",10.508932593
"378","13039","2011",15.569906105
"379","13043","2011",13.582801115
"380","13045","2011",13.533107782
"381","13047","2011",10.976386021
"382","13049","2011",9.9589478486
"383","13051","2011",14.186244702
"384","13053","2011",19.965239093
"385","13055","2011",11.695453489
"386","13057","2011",13.170750862
"387","13059","2011",12.358253548
"388","13061","2011",10.411736867
"389","13063","2011",16.76540693
"390","13065","2011",16.318053701
"391","13067","2011",13.683962938
"392","13069","2011",13.858429378
"393","13071","2011",16.694746516
"394","13073","2011",12.712849594
"395","13075","2011",13.852358408
"396","13077","2011",12.685038727
"397","13079","2011",10.88511044
"398","13081","2011",14.32628322
"399","13083","2011",8.9076136022
"400","13085","2011",10.880272231
"401","13087","2011",13.377082282
"402","13089","2011",15.883264834
"403","13091","2011",11.665706052
"404","13093","2011",8.9594787212
"405","13095","2011",16.573827911
"406","13097","2011",13.158736671
"407","13099","2011",14.513388141
"408","13101","2011",15.843544993
"409","13103","2011",12.590817452
"410","13105","2011",12.625250501
"411","13107","2011",14.811858356
"412","13109","2011",13.817553748
"413","13111","2011",8.3662561004
"414","13113","2011",7.2771773146
"415","13115","2011",13.520810833
"416","13117","2011",12.406664119
"417","13119","2011",12.305317168
"418","13121","2011",13.912757507
"419","13123","2011",11.259353381
"420","13125","2011",10.029116791
"421","13127","2011",12.774076507
"422","13129","2011",13.143522572
"423","13131","2011",15.36374157
"424","13133","2011",10.429026416
"425","13135","2011",14.37541937
"426","13137","2011",12.031961349
"427","13139","2011",14.435470961
"428","13141","2011",10.197578075
"429","13143","2011",13.176519931
"430","13145","2011",9.7120516321
"431","13147","2011",11.133703141
"432","13149","2011",10.945189208
"433","13151","2011",11.875227576
"434","13153","2011",14.668138637
"435","13155","2011",11.63455046
"436","13157","2011",13.199638366
"437","13159","2011",14.285198947
"438","13161","2011",12.157653044
"439","13163","2011",14.031749807
"440","13165","2011",12.769838857
"441","13167","2011",8.6064548411
"442","13169","2011",11.291952741
"443","13171","2011",11.146190803
"444","13173","2011",12.727096085
"445","13175","2011",13.004414438
"446","13177","2011",12.703537339
"447","13179","2011",19.039579816
"448","13181","2011",7.5748011615
"449","13183","2011",10.046524172
"450","13185","2011",15.996889243
"451","13187","2011",10.207609608
"452","13189","2011",14.049796163
"453","13191","2011",9.3923039181
"454","13193","2011",10.653287055
"455","13195","2011",11.563153974
"456","13197","2011",11.810572182
"457","13199","2011",11.286161784
"458","13201","2011",14.585381842
