"","FIPS","YEAR","RDOMESTICMIG"
"201","06087","2011",0.3068152764
"202","06089","2011",0.7270431886
"203","06091","2011",-32.9218107
"204","06093","2011",-5.73961788
"205","06095","2011",-1.621083235
"206","06097","2011",2.3431971166
"207","06099","2011",-4.415588188
"208","06101","2011",-12.26001807
"209","06103","2011",-5.705729372
"210","06105","2011",-1.457725948
"211","06107","2011",-2.513056994
"212","06109","2011",-4.290129067
"213","06111","2011",-1.68560098
"214","06113","2011",-5.706813687
"215","06115","2011",-8.340410254
"216","08001","2011",5.319837659
"217","08003","2011",5.4445298488
"218","08005","2011",7.1128571613
"219","08007","2011",-7.479120788
"220","08009","2011",1.5820698748
"221","08011","2011",-11.76106469
"222","08013","2011",8.1210902967
"223","08014","2011",13.700437042
"224","08015","2011",11.775867842
"225","08017","2011",7.0346320346
"226","08019","2011",-12.26926053
"227","08021","2011",-6.143838092
"228","08023","2011",25.941422594
"229","08025","2011",-1.532828068
"230","08027","2011",-10.58325494
"231","08029","2011",-15.60739882
"232","08031","2011",14.622241069
"233","08033","2011",-12.15657671
"234","08035","2011",8.6001466718
"235","08037","2011",-17.35957753
"236","08039","2011",-1.77029361
"237","08041","2011",6.0284607889
"238","08043","2011",12.715462342
"239","08045","2011",-13.0217624
"240","08047","2011",-11.19368749
"241","08049","2011",-20.16417453
"242","08051","2011",-8.90285415
"243","08053","2011",-20.37147993
"244","08055","2011",-17.10954652
"245","08057","2011",-24.03495994
"246","08059","2011",4.5945649568
"247","08061","2011",21.164021164
"248","08063","2011",-16.06327959
"249","08065","2011",2.4645717807
"250","08067","2011",2.7886170202
"251","08069","2011",9.4273114662
"252","08071","2011",-22.24774405
"253","08073","2011",-13.2231405
"254","08075","2011",-8.207028923
"255","08077","2011",1.7175982251
"256","08079","2011",7.0671378092
"257","08081","2011",-37.91747805
"258","08083","2011",-5.210373737
"259","08085","2011",-9.031158715
"260","08087","2011",-4.974159067
"261","08089","2011",-2.91792668
"262","08091","2011",-9.460524834
"263","08093","2011",-15.58730748
"264","08095","2011",-22.54791432
"265","08097","2011",-9.731084113
"266","08099","2011",-4.391743522
"267","08101","2011",3.0790990506
"268","08103","2011",6.4323111444
"269","08105","2011",-11.53074866
"270","08107","2011",-15.03662768
"271","08109","2011",-0.324569945
"272","08111","2011",-25.75107296
"273","08113","2011",4.985179197
"274","08115","2011",3.7950664137
"275","08117","2011",-16.57310879
"276","08119","2011",-7.72876724
"277","08121","2011",-10.43514557
"278","08123","2011",7.4848840428
"279","08125","2011",-0.891839667
"280","09001","2011",0.1223370711
"281","09003","2011",-4.356899727
"282","09005","2011",-4.19290533
"283","09007","2011",1.1573585702
"284","09009","2011",-4.627067185
"285","09011","2011",-8.474684713
"286","09013","2011",-4.152940523
"287","09015","2011",-5.750256482
"288","10001","2011",6.6937750331
"289","10003","2011",-0.642199543
"290","10005","2011",10.561284831
"291","11001","2011",12.305044954
"292","12001","2011",-0.233190203
"293","12003","2011",-5.802457729
"294","12005","2011",-1.948276218
"295","12007","2011",-5.547071111
"296","12009","2011",1.2808685649
"297","12011","2011",7.7710978328
"298","12013","2011",6.3342868819
"299","12015","2011",6.8492293835
"300","12017","2011",-1.594663572
"301","12019","2011",-0.912016468
"302","12021","2011",8.5264760616
"303","12023","2011",-4.255950174
"304","12027","2011",-10.80554322
"305","12029","2011",3.1091873438
"306","12031","2011",-1.553524977
"307","12033","2011",0.6963053969
"308","12035","2011",14.643875822
"309","12037","2011",-2.783334783
"310","12039","2011",-13.51308752
"311","12041","2011",-1.529681709
"312","12043","2011",-5.368396483
"313","12045","2011",-2.089334895
"314","12047","2011",-10.65646561
"315","12049","2011",-13.67885372
"316","12051","2011",-15.38836383
"317","12053","2011",4.169847549
"318","12055","2011",1.3190470392
"319","12057","2011",6.3792662197
"320","12059","2011",2.5704997354
"321","12061","2011",7.54219048
"322","12063","2011",-7.931610097
"323","12065","2011",-12.49829258
"324","12067","2011",-2.385550381
"325","12069","2011",8.6758250392
"326","12071","2011",12.6488012
"327","12073","2011",1.4467603032
"328","12075","2011",-11.20302704
"329","12077","2011",-10.71450069
"330","12079","2011",-6.566261921
"331","12081","2011",10.111018429
"332","12083","2011",4.589996941
"333","12085","2011",8.3044982699
"334","12086","2011",-4.627533627
"335","12087","2011",5.5847323473
"336","12089","2011",7.2192386615
"337","12091","2011",6.1679360778
"338","12093","2011",-8.836708639
"339","12095","2011",3.7945051254
"340","12097","2011",11.865670689
"341","12099","2011",4.0670896891
"342","12101","2011",2.0816545076
"343","12103","2011",3.1871519843
"344","12105","2011",5.0187543795
"345","12107","2011",-6.80318113
"346","12109","2011",22.898891198
"347","12111","2011",4.2027636572
"348","12113","2011",14.540930386
"349","12115","2011",9.8824912485
"350","12117","2011",1.5470016541
"351","12119","2011",46.241150983
"352","12121","2011",24.201829724
"353","12123","2011",0.7512649977
"354","12125","2011",-14.84891713
"355","12127","2011",1.5330102821
"356","12129","2011",0.8090876727
"357","12131","2011",5.2698544473
"358","12133","2011",-6.37822466
"359","13001","2011",4.0225042807
"360","13003","2011",-9.208323368
"361","13005","2011",7.8353672266
"362","13007","2011",-38.86087214
"363","13009","2011",-14.94294612
"364","13011","2011",-11.23871355
"365","13013","2011",-6.350344037
"366","13015","2011",-3.886773978
"367","13017","2011",-6.016573958
"368","13019","2011",-0.567903147
"369","13021","2011",-2.499799696
"370","13023","2011",3.5990504633
"371","13025","2011",4.6976241901
"372","13027","2011",-17.6864838
"373","13029","2011",22.354162611
"374","13031","2011",22.738065309
"375","13033","2011",3.8427052645
"376","13035","2011",-8.777297183
"377","13037","2011",-13.06110194
"378","13039","2011",-16.59997623
"379","13043","2011",14.572276693
"380","13045","2011",-4.480922203
"381","13047","2011",7.2192637903
"382","13049","2011",44.093051543
"383","13051","2011",14.424418799
"384","13053","2011",-17.02393155
"385","13055","2011",-12.19890016
"386","13057","2011",3.8020091054
"387","13059","2011",-1.850342908
"388","13061","2011",-0.946521533
"389","13063","2011",-4.295776267
"390","13065","2011",-10.97759976
"391","13067","2011",-0.059162974
"392","13069","2011",1.1665344594
"393","13071","2011",-3.982233114
"394","13073","2011",22.61200588
"395","13075","2011",-12.44958794
"396","13077","2011",5.2621147172
"397","13079","2011",-3.416494518
"398","13081","2011",9.5367269953
"399","13083","2011",-2.166716822
"400","13085","2011",-2.596937405
"401","13087","2011",-7.716160669
"402","13089","2011",-5.711935529
"403","13091","2011",-7.008645533
"404","13093","2011",-18.86920519
"405","13095","2011",-3.302105752
"406","13097","2011",-3.538104254
"407","13099","2011",-21.49451155
"408","13101","2011",3.7133308578
"409","13103","2011",-2.206245958
"410","13105","2011",-13.17635271
"411","13107","2011",-7.361582297
"412","13109","2011",-7.272396709
"413","13111","2011",1.5633912915
"414","13113","2011",0.8781189571
"415","13115","2011",-6.604635707
"416","13117","2011",19.547190231
"417","13119","2011",-5.494256005
"418","13121","2011",12.780944541
"419","13123","2011",-5.717916137
"420","13125","2011",6.4703979295
"421","13127","2011",1.0259297488
"422","13129","2011",0.3069229172
"423","13131","2011",-4.190111337
"424","13133","2011",4.2465496784
"425","13135","2011",5.1925207094
"426","13137","2011",-2.508594258
"427","13139","2011",4.4990091139
"428","13141","2011",-4.886339494
"429","13143","2011",-9.78627475
"430","13145","2011",2.2651110835
"431","13147","2011",7.0276565924
"432","13149","2011",-9.58764636
"433","13151","2011",2.1167617429
"434","13153","2011",13.465716918
"435","13155","2011",9.3491923337
"436","13157","2011",-0.789019479
"437","13159","2011",-9.812055842
"438","13161","2011",0.9250388186
"439","13163","2011",-7.907723408
"440","13165","2011",-24.56673761
"441","13167","2011",1.4010507881
"442","13169","2011",-0.139406824
"443","13171","2011",-6.698695951
"444","13173","2011",30.409015836
"445","13175","2011",-12.75512854
"446","13177","2011",-1.719539585
"447","13179","2011",21.962733696
"448","13181","2011",-9.84724151
"449","13183","2011",29.26303014
"450","13185","2011",6.9359039282
"451","13187","2011",2.6012940615
"452","13189","2011",-11.51622636
"453","13191","2011",-6.868998388
"454","13193","2011",-14.98333276
"455","13195","2011",-3.263221367
"456","13197","2011",-10.31991744
"457","13199","2011",-9.90418279
"458","13201","2011",-10.32448378
"459","13205","2011",-6.865378875
"460","13207","2011",4.9121337319
"461","13209","2011",-15.29657753
