FIPS,GDP_2018
17041,1035207
17043,85827639
17045,751593
17047,270609
17049,1948060
17051,530673
17053,600038
17055,1061254
17057,865406
17059,210153
17061,295290
17063,3712643
17065,356156
17067,530754
17069,73724
17071,165531
17073,1335418
17075,1036107
17077,2363266
17079,459389
17081,1826578
17083,479396
17085,745544
17087,205038
17089,25164168
17091,5624797
17093,3310768
17095,1639568
17097,56587527
17099,5263425
17101,545864
17103,1461417
17105,1763482
17107,953494
17109,1077363
17111,10860083
17113,13576409
17115,6071453
17117,1140843
17119,12874435
17121,1255239
17123,358271
17125,505850
17127,563832
17129,224898
17131,394021
17133,861581
17135,1196421
17137,1450520
17139,757929
17141,2457771
17143,12263083
17145,578484
17147,503203
17149,503468
17151,57896
17153,189564
17155,370794
17157,1380649
17159,578710
17161,9274171
17163,10950812
17165,793918
17167,10412444
17169,236804
17171,153849
17173,740437
17175,199628
17177,1648835
17179,5686043
17181,378393
17183,3007613
17185,332161
17187,776438
17189,917957
17191,412672
17193,531142
17195,1988176
17197,31630015
17199,2723494
17201,12914900
17203,1061534
18001,1656006
18003,19792310
18005,6089152
18007,398175
18009,319468
18011,3086527
18013,267760
18015,640762
18017,1263209
18019,4869101
18021,707541
18023,1410901
18025,176096
18027,1259143
18029,1602708
18031,1518790
18033,2427369
18035,3662091
18037,2687958
18039,14876298
18041,534486
18043,2732009
18045,447886
18047,532204
18049,645367
18051,3305056
18053,2201678
18055,612829
18057,17940823
18059,2660482
18061,1043074
18063,6229122
18065,1237444
18067,3866590
18069,1360897
18071,2171115
18073,1466707
18075,992433
18077,1382521
18079,692167
18081,4997940
18083,1792986
18085,5215851
18087,1901150
18089,23980948
18091,3974845
18093,1284819
18095,3444302
18097,82818853
18099,1579727
18101,978859
18103,920288
18105,6284623
18107,1596960
18109,1538520
18111,329489
18113,1789298
18115,113104
18117,645938
18119,488197
18121,314268
18123,727193
18125,639299
18127,7281862
18129,2816778
18131,594596
18133,1038278
18135,709279
18137,1060328
18139,588620
18141,12822143
18143,658212
18145,1888046
18147,1111657
18149,465462
18151,1336357
18153,887081
18155,220313
18157,9243587
18159,571981
18161,133325
18163,10110231
18165,782890
18167,4254872
18169,1111735
18171,230553
18173,2239843
18175,648372
18177,2561613
18179,1125284
18181,932751
18183,1490338
19001,323596
19003,223514
19005,595336
19007,369005
19009,274321
19011,785052
19013,7133450
19015,929320
19017,1016502
19019,750652
19021,1265631
19023,388839
19025,424965
19027,1344804
19029,623829
19031,587162
19033,2315013
19035,691446
19037,659369
19039,403645
19041,981167
19043,857017
19045,2047825
19047,749281
19049,4460442
19051,256943
19053,196891
19055,938525
19057,2046900
19059,899062
19061,5811398
19063,379314
19065,751129
19067,804667
19069,606813
19071,243004
19073,454795
19075,457044
19077,456391
19079,918954
19081,796116
19083,859782
19085,382235
19087,870466
19089,450206
19091,438285
19093,457383
19095,1087107
19097,612554
19099,1062652
19101,645065
19103,8480404
19105,585046
19107,347023
19109,951235
19111,1581692
19113,15766743
19115,661938
19117,290696
19119,1035581
19121,379552
19123,903515
19125,1791888
19127,1722053
19129,492374
19131,653509
19133,294154
19135,382597
19137,388257
19139,2467283
19141,931044
19143,470559
19145,553845
19147,628157
19149,1436499
19151,584971
19153,38797599
19155,4064659
19157,1030763
19159,192530
19161,560019
19163,8511626
19165,677773
19167,2642718
19169,4947350
19171,587013
19173,233071
19175,571216
19177,223575
19179,1489861
19181,1086155
19183,1198498
19185,221067
19187,1890819
19189,414956
19191,950137
19193,4775913
19195,274455
19197,769053
20001,498430
20003,243035
20005,688237
20007,211938
20009,1161532
20011,630285
20013,521447
20015,2351738
20017,131682
20019,76469
20021,688090
20023,126796
20025,223880
20027,266466
20029,341576
20031,776864
20033,64045
20035,1314131
20037,1474252
20039,135842
20041,615206
20043,241436
20045,4572224
20047,201950
20049,73755
20051,1488379
20053,255743
20055,2218339
20057,2149930
20059,845581
20061,2670597
20063,156065
20065,130788
20067,632022
20069,782754
20071,171045
20073,156523
20075,298381
20077,313968
20079,1198149
20081,491271
20083,156402
20085,370144
20087,394754
20089,130227
20091,44869982
20093,257969
20095,272293
20097,129460
20099,780532
20101,159786
20103,2668523
20105,108880
20107,427896
20109,149140
20111,1357846
20113,2099008
20115,359287
20117,470338
20119,264470
20121,875106
20123,397227
20125,1601484
20127,208613
20129,157743
20131,464952
20133,516292
20135,182716
20137,212622
20139,297439
20141,167818
20143,108638
20145,289332
20147,365737
20149,1298356
20151,521946
20153,117202
20155,2287785
20157,202709
20159,509711
20161,2431925
20163,202341
20165,143736
20167,261442
20169,2665627
20171,463513
20173,29040351
20175,1245253
20177,9589193
20179,107916
20181,277664
20183,146424
20185,184925
20187,192009
20189,314879
20191,643744
20193,470788
20195,170886
20197,144744
20199,91948
20201,214052
20203,319755
20205,321987
20207,79557
20209,11109051
21001,340837
21003,464886
21005,514290
21007,180909
21009,1321278
21011,182140
21013,693519
21015,10407533
21017,1013014
21019,3956545
21021,1123969
21023,139807
21025,217564
21027,334331
21029,2221647
21031,273544
21033,363178
21035,1266984
21037,3090168
21039,125000
21041,1943678
21043,451501
21045,292599
21047,5325279
21049,1388893
21051,301157
21053,310741
21055,189378
21057,137278
21059,4207105
21061,153674
21063,71471
21065,193993
21067,18304009
21069,269142
21071,1009064
21073,2746173
21075,169621
21077,313984
21079,235836
21081,471113
21083,1179330
21085,620005
21087,137358
21089,817280
21091,759588
21093,4604716
21095,533122
21097,495802
21099,505087
21101,1832981
21103,315544
21105,198568
21107,1690029
21109,142429
21111,48870990
21113,1910678
21115,399624
21117,7219962
21119,209616
21121,567698
21123,206489
21125,1917629
21127,306518
21129,121023
21131,170645
21133,347738
21135,179555
21137,362493
21139,252038
21141,1049316
21143,197491
21145,3809836
21147,226049
21149,305529
21151,2694059
21153,145599
21155,809408
21157,1240361
21159,249761
21161,1009368
21163,452212
21165,76993
21167,794291
21169,158291
21171,290128
21173,907787
21175,229727
21177,1179065
21179,1436582
21181,84834
21183,877525
21185,1732303
21187,188697
21189,46716
21191,264589
21193,936335
21195,1974778
21197,202963
21199,1961738
21201,22714
21203,290249
21205,670677
21207,544134
21209,3107731
21211,1530033
21213,787615
21215,246848
21217,773058
21219,312014
21221,243275
21223,453914
21225,677220
21227,5464995
21229,301792
21231,393723
21233,591029
21235,946732
21237,92463
21239,1151111
22001,1482303
22003,649888
22005,8318416
22007,452787
22009,861921
22011,990506
22013,695499
22015,5212363
22017,12317250
22019,14807709
22021,174811
22023,1562205
22025,167441
22027,462268
22029,541652
22031,3448874
22033,36493145
22035,172350
22037,449786
22039,825950
22041,531900
22043,337272
22045,2975234
22047,1855790
22049,453286
22051,21467001
22053,889440
22055,13131620
22057,3780560
22059,478312
22061,2097380
22063,2994091
22065,417923
