material,railway,tram,subway,subway_elevated,subway_surface,other,bridge,tunnel
iron_steel,0.01724281016910748,0.017142857142857144,0.6425553865690367,0.34767020875445,0.2425415625,0.017142857142857144,1.4548359856869144,0.15345577183912865
copper,0,0.001,0.007536391481913651,0.007536391481913652,0.007536391481913652,0.001,0,0
aluminum,0,0,0.0046326217842088974,0.0063242899068149255,0.0046326217842088974,0,0,0
all_other_metals,0,0,0,0,0,0,0,0
concrete,0.005029526064634874,0.5571428571428572,13.188702222517781,4.614391589319923,2.337645218760358,0.5571428571428572,0.120299299656171,4.07044487636946
bricks,0,0,0,0,0,0,0,0
glass,0,0,0,0,0,0,0,0
aggregate,0.8069862121722122,0.04,0,0.42817279396103836,0.42817279396103836,0.04,0,0
all_other_minerals,0,0,0,0,0,0,0,0
timber,0.024707456379589127,0,0,0,0,0,0,0
other_biomass_based_materials,0,0,0,0,0,0,0,0
bitumen,0,0,0,0,0,0,0,0
all_other_fossil_fuel_based_materials,0,0,0,0,0,0,0,0
all_other_materials,0,0,0,0,0,0,0,0
insulation,0,0,0,0,0,0,0,0
total,0.8539660047855437,0.6152857142857143,13.84342662235294,5.40409527342414,3.020528588487519,0.6152857142857143,1.5751352853430853,4.223900648208589
